001,田原町,35.7098045,139.7907555,Japan,10/3/2013
002,稲荷町,35.711375,139.782208,Japan,9/18/2012
003,上野,35.7089183,139.7742183,Japan,7/20/2011
004,上野広小路,35.7079034,139.7730918,Japan,1/26/2013
005,末広町,35.702543,139.771709,Japan,2/16/2013
006,神田,35.6921413,139.7712247,Japan,5/10/2013
007,三越前,35.687156,139.773571,Japan,11/27/2015
008,日本橋,35.6804104,139.7716528,Japan,1/15/2015
009,京橋,35.6762415,139.7706974,Japan,5/28/2016
010,銀座,35.6721142,139.7708253,Japan,6/17/2014
011,新橋,35.6661933,139.7583319,Japan,5/3/2013
012,虎ノ門,35.662109,139.7436665,Japan,2/12/2012
013,溜池山王,35.6738296,139.7417409,Japan,5/9/2013
014,赤坂見附,35.676795,139.737269,Japan,10/26/2016
015,青山一丁目,35.6728971,139.7237741,Japan,4/26/2012
016,外苑前,35.670399,139.7178259,Japan,12/24/2011
017,表参道,35.6652511,139.7120921,Japan,2/24/2014
018,渋谷,35.6617773,139.7040506,Japan,8/28/2012
019,池袋,35.7377967,139.7074498,Japan,5/25/2013
020,新大塚,35.7260747,139.72983,Japan,11/21/2011
021,茗荷谷,35.7173731,139.7367799,Japan,9/10/2013
022,後楽園,35.708486,139.751822,Japan,4/28/2013
023,本郷三丁目,35.706722,139.7598344,Japan,2/13/2017
024,御茶ノ水,35.7006119,139.7642037,Japan,12/9/2014
025,淡路町,35.69496,139.76746,Japan,6/26/2011
026,大手町,35.6859152,139.7684278,Japan,1/7/2017
027,東京,35.7090259,139.7319925,Japan,1/19/2011
028,銀座,35.6721142,139.7708253,Japan,3/6/2014
029,霞ケ関,35.6752772,139.7525236,Japan,9/22/2011
030,国会議事堂前,35.673767,139.743268,Japan,1/25/2013
031,赤坂見附,35.676795,139.737269,Japan,8/3/2012
032,四ツ谷,35.6902021,139.7164592,Japan,9/1/2012
033,四谷三丁目,35.687932,139.720631,Japan,8/24/2013
034,新宿御苑前,35.68857,139.710854,Japan,4/27/2013
035,新宿三丁目,35.6907982,139.7063538,Japan,4/30/2015
036,新宿,35.6938401,139.7035494,Japan,2/23/2015
037,西新宿,35.6919843,139.6854958,Japan,11/1/2014
038,中野坂上,35.697069,139.682161,Japan,10/31/2014
039,新中野,35.6976549,139.6698209,Japan,12/12/2013
040,東高円寺,35.697929,139.658274,Japan,3/22/2017
041,新高円寺,35.6978187,139.6482724,Japan,10/17/2016
042,南阿佐ケ谷,35.6994552,139.635551,Japan,12/18/2014
043,荻窪,35.7033681,139.6210114,Japan,3/31/2012
044,方南町,35.6840344,139.658562,Japan,11/22/2014
045,中野富士見町,35.690625,139.667024,Japan,9/5/2012
046,中野新橋,35.6925005,139.6742859,Japan,3/1/2017
047,北千住,35.7497204,139.8047023,Japan,3/21/2011
048,南千住,35.7327501,139.7913519,Japan,6/23/2012
049,三ノ輪,35.7275061,139.7931576,Japan,9/15/2016
050,入谷,35.7210426,139.7865085,Japan,7/1/2015
051,上野,35.7089183,139.7742183,Japan,9/23/2016
052,仲御徒町,35.7066283,139.7762034,Japan,4/4/2017
053,秋葉原,35.7022051,139.7741464,Japan,1/21/2015
054,小伝馬町,35.691126,139.7788326,Japan,12/31/2014
055,人形町,35.6855713,139.7839186,Japan,5/30/2015
056,茅場町,35.679046,139.779626,Japan,4/5/2016
057,八丁堀,35.6751195,139.7753361,Japan,2/6/2014
058,築地,35.6654594,139.7707838,Japan,8/1/2014
059,東銀座,35.6697003,139.7671399,Japan,10/4/2016
060,銀座,35.6721142,139.7708253,Japan,5/4/2012
061,日比谷,35.6748903,139.7596051,Japan,7/9/2011
062,霞ケ関,35.6752772,139.7525236,Japan,2/5/2013
063,神谷町,35.66263,139.744741,Japan,5/15/2017
064,六本木,35.6641222,139.729426,Japan,2/22/2017
065,広尾,35.6501959,139.7210272,Japan,8/2/2015
066,恵比寿,35.6469712,139.7186136,Japan,4/29/2014
067,中目黒,35.6378607,139.7032542,Japan,4/21/2012
068,中野,35.7073985,139.6638354,Japan,12/15/2012
069,落合,35.6096013,139.4278927,Japan,10/21/2013
070,高田馬場,35.7131017,139.700335,Japan,2/1/2012
071,早稲田,35.7060727,139.7234799,Japan,2/12/2011
072,神楽坂,35.7019042,139.7404624,Japan,10/24/2012
073,飯田橋,35.699888,139.7479231,Japan,7/3/2011
074,九段下,35.6954816,139.7511544,Japan,4/28/2013
075,竹橋,35.6905093,139.7565376,Japan,6/3/2011
076,大手町,35.6859152,139.7684278,Japan,10/15/2011
077,日本橋,35.6804104,139.7716528,Japan,10/23/2014
078,茅場町,35.679046,139.779626,Japan,8/2/2014
079,門前仲町,35.6731035,139.7950401,Japan,10/2/2015
080,木場,35.6695928,139.8070721,Japan,6/3/2017
081,東陽町,35.6703122,139.8104994,Japan,10/4/2016
082,南砂町,35.668381,139.831705,Japan,8/24/2014
083,西葛西,35.6729211,139.8535647,Japan,2/27/2015
084,葛西,35.663578,139.872924,Japan,1/29/2011
085,浦安,35.653153,139.9019174,Japan,7/7/2015
086,南行徳,35.6700902,139.9066387,Japan,11/20/2016
087,行徳,35.682604,139.914142,Japan,5/14/2012
088,妙典,35.698382,139.9250223,Japan,8/31/2016
089,原木中山,35.7031661,139.941603,Japan,4/14/2017
090,西船橋,35.7074693,139.9589668,Japan,11/13/2013
091,北綾瀬,35.776869,139.832118,Japan,9/12/2011
092,綾瀬,35.7622163,139.8249474,Japan,3/3/2014
093,北千住,35.7497204,139.8047023,Japan,11/6/2014
094,町屋,35.7495171,139.7788353,Japan,2/8/2011
095,西日暮里,35.7353017,139.7731422,Japan,1/5/2017
096,千駄木,35.7268018,139.7581383,Japan,12/20/2011
097,根津,35.7194307,139.7641769,Japan,7/28/2014
098,湯島,35.7083599,139.770988,Japan,5/6/2012
099,新御茶ノ水,35.696932,139.765432,Japan,7/30/2014
100,大手町,35.6859152,139.7684278,Japan,6/16/2011
101,二重橋前,35.680628,139.76185,Japan,12/16/2013
102,日比谷,35.6748903,139.7596051,Japan,7/30/2011
103,霞ケ関,35.6752772,139.7525236,Japan,12/2/2015
104,国会議事堂前,35.673767,139.743268,Japan,3/23/2013
105,赤坂,35.6749184,139.736775,Japan,3/7/2014
